VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2024-05-01 12:11:50,2024-05-01 12:27:36,N,1.0,134,132,1.0,6.4,27.5,0.0,0.5,0.05,0.0,,1.0,29.05,1.0,1.0,0.0
2,2024-05-01 12:03:33,2024-05-01 12:23:44,N,1.0,74,239,1.0,3.19,19.8,0.0,0.5,4.81,0.0,,1.0,28.86,1.0,1.0,2.75
2,2024-05-01 12:10:53,2024-05-01 12:23:45,N,1.0,134,192,1.0,3.68,19.1,0.0,0.5,4.12,0.0,,1.0,24.72,1.0,1.0,0.0
2,2024-05-01 13:01:12,2024-05-01 13:07:11,N,1.0,134,95,1.0,0.82,7.2,0.0,0.5,0.0,0.0,,1.0,8.7,2.0,1.0,0.0
2,2024-05-01 12:33:21,2024-05-01 12:41:50,N,1.0,82,135,1.0,2.77,13.5,0.0,0.5,3.0,0.0,,1.0,18.0,1.0,1.0,0.0
2,2024-05-01 12:21:50,2024-05-01 12:29:04,N,1.0,75,263,6.0,0.56,7.9,0.0,0.5,0.0,0.0,,1.0,9.4,2.0,1.0,0.0
2,2024-05-01 12:39:26,2024-05-01 12:50:47,N,1.0,75,74,6.0,1.63,12.1,0.0,0.5,4.08,0.0,,1.0,17.68,1.0,1.0,0.0
2,2024-05-01 12:01:32,2024-05-01 12:24:32,N,1.0,95,92,1.0,4.06,24.7,0.0,0.5,0.0,0.0,,1.0,26.2,2.0,1.0,0.0
2,2024-05-01 12:03:27,2024-05-01 12:12:08,N,1.0,74,41,1.0,1.25,10.0,0.0,0.5,0.0,0.0,,0.3,10.8,2.0,1.0,0.0
2,2024-05-01 12:31:05,2024-05-01 12:41:20,N,1.0,74,166,1.0,1.42,11.4,0.0,0.5,2.44,0.0,,0.3,14.64,1.0,1.0,0.0
